Description                                       ProcessId  

System Idle Process                               0          

System                                            4          

Registry                                          240        

smss.exe                                          728        

csrss.exe                                         788        

wininit.exe                                       1108       

services.exe                                      1180       

lsass.exe                                         1188       

svchost.exe                                       1316       

fontdrvhost.exe                                   1344       

WUDFHost.exe                                      1388       

svchost.exe                                       1448       

svchost.exe                                       1500       

WUDFHost.exe                                      1532       

svchost.exe                                       1892       

svchost.exe                                       1900       

svchost.exe                                       1908       

svchost.exe                                       1916       

svchost.exe                                       2036       

svchost.exe                                       1256       

svchost.exe                                       1268       

svchost.exe                                       1720       

svchost.exe                                       2120       

svchost.exe                                       2196       

svchost.exe                                       2552       

svchost.exe                                       2684       

svchost.exe                                       2720       

NVDisplay.Container.exe                           2756       

svchost.exe                                       2808       

svchost.exe                                       2944       

amdfendrsr.exe                                    2952       

atiesrxx.exe                                      2960       

svchost.exe                                       3132       

svchost.exe                                       3172       

svchost.exe                                       3212       

svchost.exe                                       3220       

svchost.exe                                       3228       

svchost.exe                                       3300       

Memory Compression                                3360       

svchost.exe                                       3408       

svchost.exe                                       3452       

svchost.exe                                       3492       

WmiPrvSE.exe                                      3776       

svchost.exe                                       3892       

dasHost.exe                                       3980       

SbieSvc.exe                                       3196       

svchost.exe                                       4508       

svchost.exe                                       4512       

svchost.exe                                       4612       

svchost.exe                                       4716       

svchost.exe                                       4744       

spoolsv.exe                                       4768       

svchost.exe                                       4804       

nordvpn-service.exe                               4812       

wlanext.exe                                       5112       

conhost.exe                                       2612       

svchost.exe                                       5172       

svchost.exe                                       5320       

mDNSResponder.exe                                 5328       

svchost.exe                                       5336       

svchost.exe                                       5348       

gameinputsvc.exe                                  5356       

svchost.exe                                       5364       

Lenovo.Modern.ImController.exe                    5372       

svchost.exe                                       5384       

LenovoUtilityService.exe                          5392       

NahimicService.exe                                5400       

svchost.exe                                       5416       

svchost.exe                                       5424       

